ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación
1,Detergente líquido,Limpieza de ropa,"Sulfato de sodio, Lauril éter sulfato, Agua, Fragancia","Alta espuma, pH neutro, biodegradable","Sin fosfatos, pH entre 6.5 y 7.5","Usar 10% Lauril éter sulfato, 5% Sulfato de sodio, 0.5% Fragancia, resto Agua"
2,Crema hidratante,Cuidado de piel,"Glicerina, Ácido hialurónico, Agua, Conservante","Hidratación profunda, textura ligera","Sin parabenos, no comedogénico","Usar 3% Ácido hialurónico, 5% Glicerina, 0.2% Conservante, resto Agua"
3,Limpiador multiusos,Limpieza de superficies,"Alcohol etílico, Agua, Fragancia, Tensoactivo no iónico","Desinfección, secado rápido, aroma agradable","Sin cloro, inflamabilidad baja","Usar 20% Alcohol etílico, 1% Tensoactivo, 0.5% Fragancia, resto Agua"
4,Shampoo anticaspa,Cuidado capilar,"Piritiona de zinc, Lauril sulfato, Agua, Fragancia","Control de caspa, limpieza suave, pH ácido","pH entre 5 y 6, sin siliconas","Usar 1% Piritiona de zinc, 10% Lauril sulfato, 0.5% Fragancia, resto Agua"
5,Desinfectante de manos,Antiséptico,"Alcohol isopropílico, Glicerina, Agua, Fragancia","Eliminación de gérmenes, hidratación","Alcohol entre 60-70%, sin colorantes","Usar 65% Alcohol isopropílico, 2% Glicerina, 0.3% Fragancia, resto Agua"
6,Crema antiarrugas,Cuidado de piel,"Retinol, Vitamina C, Agua, Conservante","Reducción de arrugas, mejora de elasticidad","Sin parabenos, no comedogénico","Usar 0.5% Retinol, 2% Vitamina C, 0.2% Conservante, resto Agua"
7,Jabón líquido para manos,Higiene personal,"Lauril éter sulfato, Agua, Glicerina, Fragancia","Limpieza efectiva, hidratación, alta espuma","pH neutro, sin colorantes","Usar 8% Lauril éter sulfato, 3% Glicerina, 0.5% Fragancia, resto Agua"
8,Acondicionador capilar,Cuidado capilar,"Aceite de argán, Pantenol, Agua, Conservante","Suavidad, desenredado fácil, brillo","Sin siliconas, pH entre 4.5 y 5.5","Usar 2% Aceite de argán, 1% Pantenol, 0.2% Conservante, resto Agua"
ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación,No permitido
6,Pintura acrílica,Recubrimiento decorativo,"Pigmento TiO2, Resina acrílica, Agua, Dispersante","Alta cobertura, secado rápido, acabado mate","VOC < 50 g/L","Usar 25% Resina acrílica, 20% Pigmento TiO2, 1% Dispersante, resto Agua","No usar solventes orgánicos volátiles (tolueno, xileno)"
7,Fertilizante líquido,Agroquímico,"Nitrato de amonio, Fosfato monoamónico, Agua","Alta solubilidad, liberación rápida","Cumplir límites de nitrógeno","Usar 10% Nitrato de amonio, 5% Fosfato, resto Agua","No mezclar con cloruro de calcio (precipitación peligrosa)"
8,Crema solar,Protección UV,"Óxido de zinc, Dióxido de titanio, Emulsionante, Agua","Protección UVA/UVB, textura ligera","Sin nanopartículas, hipoalergénico","Usar 5% Óxido de zinc, 3% Dióxido de titanio, 2% Emulsionante, resto Agua","No usar nanopartículas menores a 100 nm"
9,Limpiador industrial,Limpieza pesada,"Ácido cítrico, Tensioactivo aniónico, Agua","Desincrustante, biodegradable","pH entre 2 y 3","Usar 10% Ácido cítrico, 5% Tensioactivo, resto Agua","No usar ácido fluorhídrico ni mezclas con cloro"
10,Perfume,Cuidado personal,"Alcohol etílico, Aceite esencial, Agua destilada","Aroma duradero, evaporación controlada","Alcohol entre 70-80%","Usar 75% Alcohol, 2% Aceite esencial, resto Agua","No usar ftalatos ni almizcles sintéticos prohibidos"
11,Adhesivo escolar,Material de oficina,"Acetato de polivinilo, Agua, Conservante","Pegado rápido, no tóxico","Seguro para niños","Usar 20% Acetato de polivinilo, 0.2% Conservante, resto Agua","No usar solventes orgánicos ni formaldehído"
12,Desengrasante automotriz,Limpieza mecánica,"Carbonato de sodio, Tensioactivo no iónico, Agua","Alta capacidad de emulsión, biodegradable","Sin solventes clorados","Usar 15% Carbonato de sodio, 3% Tensioactivo, resto Agua","No usar tricloroetileno ni percloroetileno"
13,Masilla para madera,Reparación de superficies,"Polímero acrílico, Carga de madera, Agua","Fácil lijado, buena adherencia","Libre de solventes tóxicos","Usar 30% Carga de madera, 15% Polímero acrílico, resto Agua","No usar disolventes orgánicos ni metales pesados"
14,Insecticida doméstico,Control de plagas,"Piretrina, Solvente, Agua","Eficacia rápida, baja toxicidad","Seguro para uso en interiores","Usar 0.5% Piretrina, 10% Solvente, resto Agua","No usar organofosforados ni carbamatos"
15,Limpiador de vidrios,Limpieza de superficies,"Alcohol isopropílico, Amoníaco, Agua","Brillo sin manchas, secado rápido","Sin fragancias fuertes","Usar 10% Alcohol isopropílico, 2% Amoníaco, resto Agua","No usar ácidos fuertes ni abrasivos"
